Virus Name,Virus Protein,Host protein
SARS-CoV-1,N,O76021
SARS-CoV-1,N,P11940
SARS-CoV-1,N,P68400
SARS-CoV-1,N,Q9HCE1
SARS-CoV-1,N,Q9Y3U8
SARS-CoV-1,nsp1,Q14181
SARS-CoV-1,nsp1,P09884
SARS-CoV-1,nsp1,P49642
SARS-CoV-1,nsp1,P49643
SARS-CoV-1,nsp10,Q6Q0C0
SARS-CoV-1,nsp10,Q969X5
SARS-CoV-1,nsp11,Q92624
SARS-CoV-1,nsp11,Q9C0D3
SARS-CoV-1,nsp12,A3KN83
SARS-CoV-1,nsp12,O15014
SARS-CoV-1,nsp12,O15078
SARS-CoV-1,nsp12,O15182
SARS-CoV-1,nsp12,O43303
SARS-CoV-1,nsp12,O75506
SARS-CoV-1,nsp12,O95391
SARS-CoV-1,nsp12,Q13033
SARS-CoV-1,nsp12,Q13546
SARS-CoV-1,nsp12,Q13615
SARS-CoV-1,nsp12,Q13948
SARS-CoV-1,nsp12,Q2NL68
SARS-CoV-1,nsp12,Q2T9J0
SARS-CoV-1,nsp12,Q4KMZ1
SARS-CoV-1,nsp12,Q5EBL8
SARS-CoV-1,nsp12,Q5VUA4
SARS-CoV-1,nsp12,Q6UUV7
SARS-CoV-1,nsp12,Q6ZRI6
SARS-CoV-1,nsp12,Q70EL1
SARS-CoV-1,nsp12,Q86SQ0
SARS-CoV-1,nsp12,Q8IWR0
SARS-CoV-1,nsp12,Q8TD31
SARS-CoV-1,nsp12,Q92615
SARS-CoV-1,nsp12,Q92908
SARS-CoV-1,nsp12,Q96IZ5
SARS-CoV-1,nsp12,Q96M11
SARS-CoV-1,nsp12,Q9H2H8
SARS-CoV-1,nsp12,Q9HAU0
SARS-CoV-1,nsp12,Q9HCJ0
SARS-CoV-1,nsp13,O14639
SARS-CoV-1,nsp13,O14908
SARS-CoV-1,nsp13,O60237
SARS-CoV-1,nsp13,O60784
SARS-CoV-1,nsp13,O75381
SARS-CoV-1,nsp13,O95613
SARS-CoV-1,nsp13,O95684
SARS-CoV-1,nsp13,P06396
SARS-CoV-1,nsp13,P09493
SARS-CoV-1,nsp13,P13861
SARS-CoV-1,nsp13,P14649
SARS-CoV-1,nsp13,P17612
SARS-CoV-1,nsp13,P28289
SARS-CoV-1,nsp13,P35241
SARS-CoV-1,nsp13,P67936
SARS-CoV-1,nsp13,Q04724
SARS-CoV-1,nsp13,Q04726
SARS-CoV-1,nsp13,Q08378
SARS-CoV-1,nsp13,Q08379
SARS-CoV-1,nsp13,Q12965
SARS-CoV-1,nsp13,Q13045
SARS-CoV-1,nsp13,Q14789
SARS-CoV-1,nsp13,Q15154
SARS-CoV-1,nsp13,Q5VT06
SARS-CoV-1,nsp13,Q5VU43
SARS-CoV-1,nsp13,Q5VUJ6
SARS-CoV-1,nsp13,Q66GS9
SARS-CoV-1,nsp13,Q6ZVM7
SARS-CoV-1,nsp13,Q7Z406
SARS-CoV-1,nsp13,Q8IUD2
SARS-CoV-1,nsp13,Q8TD10
SARS-CoV-1,nsp13,Q8WXW3
SARS-CoV-1,nsp13,Q92614
SARS-CoV-1,nsp13,Q92995
SARS-CoV-1,nsp13,Q96II8
SARS-CoV-1,nsp13,Q96N16
